film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
133,Chamber Italian,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006.0,1.0,7.0,4.99,117.0,14.99,NC-17,2013-05-26 14:50:58.951,{Trailers},'chamber':1 'fate':4 'husband':11 'italian':2 'monkey':16 'moos':8 'must':13 'nigeria':18 'overcom':14 'reflect':5
8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006.0,1.0,6.0,4.99,54.0,15.99,R,2013-05-26 14:50:58.951,{Trailers},'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5
98,Bright Encounters,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006.0,1.0,4.0,4.99,73.0,12.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5
213,Date Speed,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006.0,1.0,4.0,0.99,104.0,19.99,R,2013-05-26 14:50:58.951,{Commentaries},'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4
25,Angels Life,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006.0,1.0,3.0,2.99,74.0,15.99,G,2013-05-26 14:50:58.951,{Trailers},'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8
39,Armageddon Lost,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006.0,1.0,5.0,0.99,99.0,10.99,G,2013-05-26 14:50:58.951,{Trailers},'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13
47,Baby Hall,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006.0,1.0,5.0,4.99,153.0,23.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6
126,Casualties Encino,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,2006.0,1.0,3.0,4.99,179.0,16.99,G,2013-05-26 14:50:58.951,{Trailers},'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5
69,Beverly Outlaw,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006.0,1.0,3.0,2.99,85.0,21.99,R,2013-05-26 14:50:58.951,{Trailers},'bever':1 'boat':11 'defeat':14 'documentari':5 'fanci':4 'first':19 'madman':16 'man':20 'must':13 'outlaw':2 'space':21 'station':22 'woman':8
80,Blanket Beverly,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006.0,1.0,7.0,2.99,148.0,21.99,G,2013-05-26 14:50:58.951,{Trailers},'bever':2 'blanket':1 'boat':16 'build':14 'documentari':5 'emot':4 'girl':11 'must':13 'nigeria':18 'student':8
90,Boulevard Mob,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,2006.0,1.0,3.0,0.99,63.0,11.99,R,2013-05-26 14:50:58.951,{Trailers},'ancient':18 'boulevard':1 'china':19 'confront':14 'epistl':5 'fate':4 'lumberjack':16 'mob':2 'monkey':11 'moos':8 'must':13
93,Brannigan Sunrise,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,2006.0,1.0,4.0,4.99,121.0,27.99,PG,2013-05-26 14:50:58.951,{Trailers},'amaz':4 'berlin':18 'brannigan':1 'crocodil':11 'dog':16 'epistl':5 'moos':8 'must':13 'outrac':14 'sunris':2
99,Bringing Hysterical,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,2006.0,1.0,7.0,2.99,136.0,14.99,PG,2013-05-26 14:50:58.951,{Trailers},'boat':22 'bring':1 'fate':4 'find':16 'hyster':2 'jet':21 'must':15 'saga':5 'shark':9 'technic':12 'woman':18 'writer':13
100,Brooklyn Desert,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,2006.0,1.0,7.0,4.99,161.0,21.99,R,2013-05-26 14:50:58.951,{Commentaries},'battl':14 'beauti':4 'brooklyn':1 'compos':11 'dentist':8 'desert':2 'drama':5 'first':20 'man':21 'must':13 'space':22 'station':23 'sumo':16 'wrestler':17
104,Bugsy Song,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006.0,1.0,4.0,2.99,119.0,17.99,G,2013-05-26 14:50:58.951,{Commentaries},'agent':12 'awe':5 'awe-inspir':4 'boat':15 'bugsi':1 'charact':7 'find':18 'first':23 'inspir':6 'man':24 'must':17 'secret':11 'song':2 'space':25 'squirrel':20 'station':26 'studi':8
106,Bulworth Commandments,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006.0,1.0,4.0,2.99,61.0,14.99,G,2013-05-26 14:50:58.951,{Trailers},'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18
124,Casper Dragonfly,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,2006.0,1.0,3.0,4.99,163.0,16.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'boat':8 'casper':1 'chase':14 'crocodil':11 'desert':20 'documentari':5 'dragonfli':2 'intrepid':4 'must':13 'robot':16 'sahara':19
134,Champion Flatliners,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,2006.0,1.0,4.0,4.99,51.0,21.99,PG,2013-05-26 14:50:58.951,{Trailers},'amaz':4 'champion':1 'cow':9 'dog':12 'flatlin':2 'husband':17 'kill':15 'mad':8 'monasteri':20 'must':14 'stori':5
146,Chitty Lock,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006.0,1.0,6.0,2.99,107.0,24.99,G,2013-05-26 14:50:58.951,{Commentaries},'administr':12 'boat':8 'bore':4 'chitti':1 'databas':11 'epistl':5 'first':21 'kill':15 'lock':2 'man':22 'must':14 'space':23 'station':24 'sumo':17 'wrestler':18
156,Clerks Angels,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,2006.0,1.0,3.0,4.99,164.0,15.99,G,2013-05-26 14:50:58.951,{Commentaries},'angel':2 'baloon':20 'clerk':1 'confront':15 'display':5 'girl':12 'man':17 'must':14 'sumo':8 'thrill':4 'wrestler':9
167,Coma Head,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,2006.0,1.0,6.0,4.99,109.0,10.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'awe':5 'awe-inspir':4 'boy':10 'california':21 'chef':19 'coma':1 'drama':7 'escap':16 'frisbe':13 'head':2 'inspir':6 'must':15 'pastri':18
174,Confidential Interview,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,2006.0,1.0,6.0,4.99,180.0,13.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'ancient':18 'astronaut':16 'cat':8 'confidenti':1 'find':14 'interview':2 'japan':19 'must':13 'reflect':5 'stun':4 'woman':11
181,Contact Anonymous,A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India,2006.0,1.0,7.0,2.99,166.0,10.99,PG-13,2013-05-26 14:50:58.951,{Commentaries},'administr':18 'ancient':20 'anonym':2 'contact':1 'databas':17 'display':5 'face':15 'india':21 'insight':4 'monkey':12 'must':14 'shark':9
182,Control Anthem,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,2006.0,1.0,7.0,4.99,185.0,9.99,G,2013-05-26 14:50:58.951,{Commentaries},'anthem':2 'battl':14 'cat':16 'control':1 'documentari':5 'fate':4 'monasteri':19 'must':13 'robot':8 'student':11
183,Conversation Downhill,A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention,2006.0,1.0,4.0,4.99,112.0,14.99,R,2013-05-26 14:50:58.951,{Commentaries},'charact':5 'convent':21 'convers':1 'downhil':2 'husband':9 'must':14 'mysql':20 'sink':15 'squirrel':17 'studi':6 'taut':4 'waitress':12
187,Cranes Reservoir,A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,2006.0,1.0,5.0,2.99,57.0,12.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'baloon':20 'crane':1 'documentari':5 'dog':11 'factori':21 'fanci':4 'forens':16 'must':13 'outgun':14 'psychologist':17 'reservoir':2 'teacher':8
197,Crusade Honey,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,2006.0,1.0,4.0,2.99,112.0,27.99,R,2013-05-26 14:50:58.951,{Commentaries},'abandon':21 'amus':22 'battl':16 'butler':13 'crusad':1 'explor':10 'fast':5 'fast-pac':4 'honey':2 'madman':18 'must':15 'pace':6 'park':23 'reflect':7
207,Dangerous Uptown,A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California,2006.0,1.0,7.0,4.99,121.0,26.99,PG,2013-05-26 14:50:58.951,{Commentaries},'california':19 'danger':1 'dog':17 'mad':8 'must':14 'overcom':15 'scientist':9 'stori':5 'unbeliev':4 'uptown':2 'woman':12
214,Daughter Madigan,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,2006.0,1.0,3.0,4.99,59.0,13.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'beauti':4 'confront':15 'daughter':1 'first':20 'hunter':8 'mad':11 'madigan':2 'man':21 'must':14 'scientist':12 'space':22 'squirrel':17 'station':23 'tale':5
239,Dogma Family,A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans,2006.0,1.0,5.0,4.99,122.0,16.99,G,2013-05-26 14:50:58.951,{Commentaries},'administr':10 'astronaut':18 'brilliant':4 'charact':5 'databas':9 'dogma':1 'famili':2 'monkey':13 'must':15 'new':20 'orlean':21 'studi':6 'succumb':16
244,Dorado Notting,A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California,2006.0,1.0,5.0,4.99,139.0,26.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'action':5 'action-pack':4 'california':22 'dorado':1 'frisbe':20 'meet':18 'must':17 'not':2 'pack':6 'shark':15 'sumo':10 'tale':7 'wrestler':11
249,Dracula Crystal,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,2006.0,1.0,7.0,0.99,176.0,26.99,G,2013-05-26 14:50:58.951,{Commentaries},'abandon':19 'cat':11 'crystal':2 'dracula':1 'feminist':8 'find':14 'frisbe':16 'fun':20 'hous':21 'must':13 'reflect':5 'thrill':4
261,Duffel Apocalypse,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,2006.0,1.0,5.0,0.99,171.0,13.99,G,2013-05-26 14:50:58.951,{Commentaries},'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19
282,Encounters Curtain,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,2006.0,1.0,5.0,0.99,92.0,20.99,NC-17,2013-05-26 14:50:58.951,{Trailers},'boat':17 'build':15 'chef':9 'curtain':2 'encount':1 'epistl':5 'insight':4 'must':14 'new':19 'orlean':20 'pastri':8 'woman':12
284,Enemy Odds,A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India,2006.0,1.0,5.0,4.99,77.0,23.99,NC-17,2013-05-26 14:50:58.951,{Trailers},'ancient':19 'astronaut':17 'enemi':1 'fanci':4 'india':20 'mad':8 'must':14 'odd':2 'panorama':5 'pursu':15 'scientist':9 'woman':12
286,Enough Raging,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,2006.0,1.0,7.0,2.99,158.0,16.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'agent':13 'astound':4 'boat':9 'charact':5 'cow':19 'desert':23 'enough':1 'find':16 'mad':18 'must':15 'rage':2 'sahara':22 'secret':12 'studi':6
288,Escape Metropolis,A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans,2006.0,1.0,7.0,2.99,167.0,20.99,R,2013-05-26 14:50:58.951,{Trailers},'astronaut':8 'boat':17 'escap':1 'metropoli':2 'must':14 'new':19 'orlean':20 'outgun':15 'taut':4 'technic':11 'writer':12 'yarn':5
292,Excitement Eve,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006.0,1.0,3.0,0.99,51.0,20.99,G,2013-05-26 14:50:58.951,{Commentaries},'brilliant':4 'car':11 'conquer':14 'crocodil':16 'documentari':5 'eve':2 'excit':1 'monkey':8 'must':13 'shark':19 'tank':20
301,Family Sweet,A Epic Documentary of a Teacher And a Boy who must Escape a Woman in Berlin,2006.0,1.0,4.0,0.99,155.0,24.99,R,2013-05-26 14:50:58.951,{Trailers},'berlin':18 'boy':11 'documentari':5 'epic':4 'escap':14 'famili':1 'must':13 'sweet':2 'teacher':8 'woman':16
302,Fantasia Park,A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia,2006.0,1.0,5.0,2.99,131.0,29.99,G,2013-05-26 14:50:58.951,{Commentaries},'australia':20 'documentari':5 'fantasia':1 'feminist':18 'mad':8 'must':15 'outrac':16 'park':2 'scientist':9 'shark':13 'thought':4
316,Fire Wolves,A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria,2006.0,1.0,5.0,4.99,173.0,18.99,R,2013-05-26 14:50:58.951,{Trailers},'documentari':5 'dog':11 'fire':1 'frisbe':8 'intrepid':4 'lumberjack':16 'must':13 'nigeria':18 'outrac':14 'wolv':2
323,Flight Lies,A Stunning Character Study of a Crocodile And a Pioneer who must Pursue a Teacher in New Orleans,2006.0,1.0,7.0,4.99,179.0,22.99,R,2013-05-26 14:50:58.951,{Trailers},'charact':5 'crocodil':9 'flight':1 'lie':2 'must':14 'new':19 'orlean':20 'pioneer':12 'pursu':15 'studi':6 'stun':4 'teacher':17
329,Forrest Sons,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,2006.0,1.0,4.0,2.99,63.0,15.99,R,2013-05-26 14:50:58.951,{Commentaries},'boat':21 'butler':12 'defeat':15 'documentari':5 'explor':17 'forens':8 'forrest':1 'jet':20 'must':14 'psychologist':9 'son':2 'thrill':4
348,Gandhi Kwai,A Thoughtful Display of a Mad Scientist And a Secret Agent who must Chase a Boat in Berlin,2006.0,1.0,7.0,0.99,86.0,9.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'agent':13 'berlin':20 'boat':18 'chase':16 'display':5 'gandhi':1 'kwai':2 'mad':8 'must':15 'scientist':9 'secret':12 'thought':4
360,Glass Dying,A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan,2006.0,1.0,4.0,0.99,103.0,24.99,G,2013-05-26 14:50:58.951,{Trailers},'ancient':18 'astound':4 'astronaut':11 'die':2 'dog':16 'drama':5 'fight':14 'frisbe':8 'glass':1 'japan':19 'must':13
363,Go Purple,A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon,2006.0,1.0,3.0,0.99,54.0,12.99,R,2013-05-26 14:50:58.951,{Trailers},'administr':14 'baloon':22 'battl':17 'car':10 'databas':13 'display':7 'fast':5 'fast-pac':4 'go':1 'must':16 'pace':6 'purpl':2 'woman':19
364,Godfather Diary,A Stunning Saga of a Lumberjack And a Squirrel who must Chase a Car in The Outback,2006.0,1.0,3.0,2.99,73.0,14.99,NC-17,2013-05-26 14:50:58.951,{Trailers},'car':16 'chase':14 'diari':2 'godfath':1 'lumberjack':8 'must':13 'outback':19 'saga':5 'squirrel':11 'stun':4
371,Gosford Donnie,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,2006.0,1.0,5.0,4.99,129.0,17.99,G,2013-05-26 14:50:58.951,{Commentaries},'agent':18 'berlin':20 'donni':2 'epic':4 'gosford':1 'mad':8 'monkey':12 'must':14 'panorama':5 'redeem':15 'scientist':9 'secret':17
381,Grinch Massage,A Intrepid Display of a Madman And a Feminist who must Pursue a Pioneer in The First Manned Space Station,2006.0,1.0,7.0,4.99,150.0,25.99,R,2013-05-26 14:50:58.951,{Trailers},'display':5 'feminist':11 'first':19 'grinch':1 'intrepid':4 'madman':8 'man':20 'massag':2 'must':13 'pioneer':16 'pursu':14 'space':21 'station':22
402,Harper Dying,A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert,2006.0,1.0,3.0,0.99,52.0,15.99,G,2013-05-26 14:50:58.951,{Trailers},'awe':5 'awe-inspir':4 'cat':13 'confront':16 'desert':22 'die':2 'feminist':18 'harper':1 'inspir':6 'must':15 'reflect':7 'sahara':21 'woman':10
410,Heaven Freedom,A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans,2006.0,1.0,7.0,2.99,48.0,19.99,PG,2013-05-26 14:50:58.951,{Commentaries},'butler':8 'car':11 'freedom':2 'heaven':1 'intrepid':4 'man':16 'must':13 'new':18 'orlean':19 'stori':5 'vanquish':14
418,Hobbit Alien,A Emotional Drama of a Husband And a Girl who must Outgun a Composer in The First Manned Space Station,2006.0,1.0,5.0,0.99,157.0,27.99,PG-13,2013-05-26 14:50:58.951,{Commentaries},'alien':2 'compos':16 'drama':5 'emot':4 'first':19 'girl':11 'hobbit':1 'husband':8 'man':20 'must':13 'outgun':14 'space':21 'station':22
450,Idols Snatchers,A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery,2006.0,1.0,5.0,2.99,84.0,29.99,NC-17,2013-05-26 14:50:58.951,{Trailers},'car':8 'compos':11 'drama':5 'fight':14 'idol':1 'insight':4 'man':16 'monasteri':19 'must':13 'snatcher':2
433,Horn Working,A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank,2006.0,1.0,4.0,2.99,95.0,23.99,PG,2013-05-26 14:50:58.951,{Trailers},'display':5 'horn':1 'mad':8 'monkey':18 'must':15 'scientist':9 'shark':21 'stun':4 'succumb':16 'tank':22 'technic':12 'work':2 'writer':13
462,Insider Arizona,A Astounding Saga of a Mad Scientist And a Hunter who must Pursue a Robot in A Baloon Factory,2006.0,1.0,5.0,2.99,78.0,17.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'arizona':2 'astound':4 'baloon':20 'factori':21 'hunter':12 'insid':1 'mad':8 'must':14 'pursu':15 'robot':17 'saga':5 'scientist':9
483,Jericho Mulan,A Amazing Yarn of a Hunter And a Butler who must Defeat a Boy in A Jet Boat,2006.0,1.0,3.0,2.99,171.0,29.99,NC-17,2013-05-26 14:50:58.951,{Commentaries},'amaz':4 'boat':20 'boy':16 'butler':11 'defeat':14 'hunter':8 'jericho':1 'jet':19 'mulan':2 'must':13 'yarn':5
501,Kissing Dolls,A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station,2006.0,1.0,3.0,4.99,141.0,9.99,R,2013-05-26 14:50:58.951,{Trailers},'build':14 'compos':16 'doll':2 'first':19 'insight':4 'kiss':1 'man':20 'must':13 'pioneer':8 'reflect':5 'space':21 'station':22 'teacher':11
502,Knock Warlock,A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon,2006.0,1.0,4.0,2.99,71.0,21.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'baloon':19 'boat':11 'confront':14 'knock':1 'moos':16 'must':13 'stori':5 'teacher':8 'unbeliev':4 'warlock':2
503,Kramer Chocolate,A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback,2006.0,1.0,3.0,2.99,171.0,24.99,R,2013-05-26 14:50:58.951,{Trailers},'amaz':4 'chef':12 'chocol':2 'kramer':1 'mad':17 'must':14 'outback':21 'pastri':11 'redeem':15 'robot':8 'scientist':18 'yarn':5
512,League Hellfighters,A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China,2006.0,1.0,5.0,4.99,110.0,25.99,PG-13,2013-05-26 14:50:58.951,{Trailers},'ancient':19 'china':20 'hellfight':2 'leagu':1 'monkey':12 'must':14 'outgun':15 'saga':5 'shark':9 'student':17 'thought':4
523,Lights Deer,A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico,2006.0,1.0,7.0,0.99,174.0,21.99,R,2013-05-26 14:50:58.951,{Commentaries},'confront':14 'deer':2 'dog':8 'epistl':5 'gulf':19 'light':1 'mexico':21 'moos':16 'must':13 'unbeliev':4 'woman':11
